Authors: Tile. Publication data,Search Specific Keywords,EC1,EC2,EC3
"Ruksana Akter, Yoojin Chung: An Improved Genetic Algorithm for Document Clustering on the Cloud. IJCAC 8(4): 20-28 (2018)",cloud genetic,X,X,X
"Sivaraman Eswaran, Manickachezian Rajakannu: Unevenness measurement using the support vector machine and dynamic multiservice load balancing with modified genetic algorithm in cloud-based multimedia system. IJCAET 10(6): 732-747 (2018)",cloud genetic,X,X,X
"Nan Zhang, Xiaolong Yang, Min Zhang, Yan Sun, Keping Long: A genetic algorithm-based task scheduling for cloud resource crowd-funding model. Int. J. Communication Systems 31(1) (2018)",cloud genetic,X,X,X
"Rachhpal Singh: Hybrid genetic, variable neighbourhood search and particle swarm optimisation-based job scheduling for cloud computing. IJCSE 17(2): 184-191 (2018)",cloud genetic,X,X,X
"Manel Femmam, Okba Kazar, Laïd Kahloul, Mohamed El-Kabir Fareh: Labelled evolutionary Petri nets/genetic algorithm based approach for workflow scheduling in cloud computing. IJGUC 9(2): 157-169 (2018)",cloud genetic,X,X,X
"G. B. Hima Bindu, K. Ramani, C. Shoba Bindu: Energy aware multi objective genetic algorithm for task scheduling in cloud computing. IJIPT 11(4): 242-249 (2018)",cloud genetic,X,X,X
"Mohit Agarwal, Gur Mauj Saran Srivastava: Genetic Algorithm-Enabled Particle Swarm Optimization (PSOGA)-Based Task Scheduling in Cloud Computing Environment. International Journal of Information Technology and Decision Making 17(4) (2018)",cloud genetic,X,X,X
"Fateh Seghir, Abdellah Khababa: A hybrid approach using genetic and fruit fly optimization algorithms for QoS-aware cloud service composition. J. Intelligent Manufacturing 29(8): 1773-1792 (2018)",cloud genetic,X,X,X
"Yongnan Zhang, Yonghua Zhou: Distributed coordination control of traffic network flow using adaptive genetic algorithm based on cloud computing. J. Network and Computer Applications 119: 110-120 (2018)",cloud genetic,X,X,X
"Israel Casas, Javid Taheri, Rajiv Ranjan, Lizhe Wang, Albert Y. Zomaya: GA-ETI: An enhanced genetic algorithm for the scheduling of scientific workflows in cloud environments. J. Comput. Science 26: 318-331 (2018)",cloud genetic,X,X,X
"Mohamed Amine Kaaouache, Sadok Bouamama: An energy-efficient VM placement method for cloud data centers using a hybrid genetic algorithm. J. Systems and IT 20(4): 430-445 (2018)",cloud genetic,X,X,X
"Dino Keco, Abdulhamit Subasi, Jasmin Kevric: Cloud computing-based parallel genetic algorithm for gene selection in cancer classification. Neural Computing and Applications 30(5): 1601-1610 (2018)",cloud genetic,X,X,X
"Fan-Hsun Tseng, Xiaofei Wang, Li-Der Chou, Han-Chieh Chao, Victor C. M. Leung: Dynamic Resource Prediction and Allocation for Cloud Data Center Using the Multiobjective Genetic Algorithm. IEEE Systems Journal 12(2): 1688-1699 (2018)",cloud genetic,X,X,X
"Kairong Duan, Simon Fong, Shirley W. I. Siu, Wei Song, Steven Guan: Adaptive Incremental Genetic Algorithm for Task Scheduling in Cloud Environments. Symmetry 10(5): 168 (2018)",cloud genetic,X,X,X
"Lizhen Cui, Junhua Zhang, Lingxi Yue, Yuliang Shi, Hui Li, Dong Yuan: A Genetic Algorithm Based Data Replica Placement Strategy for Scientific Applications in Clouds. IEEE Trans. Services Computing 11(4): 727-739 (2018)",cloud genetic,X,X,X
"Ying Xue, Li Ge: Cost Optimization Control of Logistics Service Supply Chain Based on Cloud Genetic Algorithm. Wireless Personal Communications 102(4): 3171-3186 (2018)",cloud genetic,X,X,X
"Boxiong Tan, Hui Ma, Yi Mei: A Genetic Programming Hyper-heuristic Approach for Online Resource Allocation in Container-Based Clouds. Australasian Conference on Artificial Intelligence 2018: 146-152",cloud genetic,X,X,X
"Trung-Dung Le, Verena Kantere, Laurent d'Orazio: An efficient multi-objective genetic algorithm for cloud computing: NSGA-G. BigData 2018: 3883-3888",cloud genetic,X,X,X
"Kadda Beghdad Bey, Ali Belgacem, Hassina Nacer: A new task scheduling approach based on Spacing Multi-Objective Genetic algorithm in cloud. FedCSIS Communication Papers 2018: 189-195",cloud genetic,X,X,X
"Miguel A. Boland, Leandro Soares Indrusiak: Analysis of the use of genetic algorithms for indoor localisation via cloud point matching. GECCO 2018: 905-912",cloud genetic,X,X,X
"Samuel Yu Toh, Maolin Tang: Software-as-a-Service Composition in Cloud Computing Using Genetic Algorithm. ICONIP (2) 2018: 542-551",cloud genetic,X,X,X
"Guillaume Rosinosky, Samir Youcef, François Charoy: A Genetic Algorithm for Cost-Aware Business Processes Execution in the Cloud. ICSOC 2018: 198-212",cloud genetic,X,X,X
"Xin Huang, Feng Wu: A Cost-Effective Data Replica Placement Strategy Based on Hybrid Genetic Algorithm for Cloud Services. CONFENIS 2018: 43-56",cloud genetic,X,X,X
Mirsaeid Hosseini Shirvani: Web Service Composition in multi-cloud environment: A bi-objective genetic optimization algorithm. INISTA 2018: 1-6,cloud genetic,X,X,X
"Thieu Nguyen, Nhuan Tran, Binh Minh Nguyen, Giang T. Nguyen: A Resource Usage Prediction System Using Functional-Link and Genetic Algorithm Neural Network for Multivariate Cloud Metrics. SOCA 2018: 49-56",cloud genetic,X,X,X
"David A. Monge, Elina Pacini, Cristian Mateos, Enrique Alba, Carlos García Garino: CMI: An Online Multi-objective Genetic Autoscaler for Scientific and Engineering Workflows in Cloud Infrastructures with Unreliable Virtual Machines. CoRR abs/1811.00989 (2018)",cloud genetic,X,X,X
"Amjad Mahmood, Salman A. Khan: Hard Real-Time Task Scheduling in Cloud Computing Using an Adaptive Genetic Algorithm. Computers 6(2): 15 (2017)",cloud genetic,X,X,X
"Abdel-Hameed A. Badawy, Gabriel Yessin, Vikram K. Narayana, David Mayhew, Tarek A. El-Ghazawi: Optimizing thin client caches for mobile cloud computing: : Design space exploration using genetic algorithms. Concurrency and Computation: Practice and Experience 29(11) (2017)",cloud genetic,X,X,X
"Li Liu, Miao Zhang, Rajkumar Buyya, Qi Fan: Deadline-constrained coevolutionary genetic algorithm for scientific workflow scheduling in cloud computing. Concurrency and Computation: Practice and Experience 29(5) (2017)",cloud genetic,X,X,X
"Gaetano F. Anastasi, Emanuele Carlini, Massimo Coppola, Patrizio Dazzi: QoS-aware genetic Cloud Brokering. Future Generation Comp. Syst. 75: 1-13 (2017)",cloud genetic,X,X,X
"Oshin Sharma, Hemraj Saini: Performance Evaluation of VM Placement Using Classical Bin Packing and Genetic Algorithm for Cloud Environment. IJBDCN 13(1): 45-57 (2017)",cloud genetic,X,X,X
"Mohammad Goudarzi, Mehran Zamani, Abolfazl Toroghi Haghighat: A genetic-based decision algorithm for multisite computation offloading in mobile cloud computing. Int. J. Communication Systems 30(10) (2017)",cloud genetic,X,X,X
"A. Kousalya, R. Radhakrishnan: Hybrid algorithm based on genetic algorithm and PSO for task scheduling in cloud computing environment. IJNVO 17(2/3): 149-157 (2017)",cloud genetic,X,X,X
"Bahman Keshanchi, Alireza Souri, Nima Jafari Navimipour: An improved genetic algorithm for task scheduling in the cloud environments using the priority queues: Formal verification, simulation, and statistical testing. Journal of Systems and Software 124: 1-21 (2017)",cloud genetic,X,X,X
Rachhpal Singh: Genetic-variable neighborhood search with thread replication for mobile cloud computing. IJPEDS 32(5): 486-501 (2017),cloud genetic,X,X,X
"Li Yan, Junxiang Tan, Hua Liu, Hong Xie, Changjun Chen: Automatic Registration of TLS-TLS and TLS-MLS Point Clouds Using a Genetic Algorithm. Sensors 17(9): 1979 (2017)",cloud genetic,X,X,X
"Mohammadbagher Karimi, Ayaz Isazadeh, Amir Masoud Rahmani: QoS-aware service composition in cloud computing using data mining techniques and genetic algorithm. The Journal of Supercomputing 73(4): 1387-1415 (2017)",cloud genetic,X,X,X
"Windhya Rankothge, Franck Le, Alessandra Russo, Jorge Lobo: Optimizing Resource Allocation for Virtualized Network Functions in a Cloud Center Using Genetic Algorithms. IEEE Trans. Network and Service Management 14(2): 343-356 (2017)",cloud genetic,X,X,X
"Amin Kamalinia, Ali Ghaffari: Hybrid Task Scheduling Method for Cloud Computing by Genetic and DE Algorithms. Wireless Personal Communications 97(4): 6301-6323 (2017)",cloud genetic,X,X,X
"Hamza Hammami, Hanen Brahmi, Imen Brahmi, Sadok Ben Yahia: A Security Approach for Data Migration in Cloud Computing Based on Human Genetics. EMCIS 2017: 384-396",cloud genetic,X,X,X
"Brian S. Cole, Jason H. Moore: EVE: Cloud-Based Annotation of Human Genetic Variants. EvoApplications (1) 2017: 83-95",cloud genetic,X,X,X
"Akhlaqur Rahman, Jiong Jin, Antonio L. Cricenti, Ashfaqur Rahman, Manoj Panda: Motion and Connectivity Aware Offloading in Cloud Robotics via Genetic Algorithm. GLOBECOM 2017: 1-6",cloud genetic,X,X,X
"Maha Bakalla, Hadeel Al-Jami, Heba Kurdi, Shada Alsalamah: A QoS-aware and energy-efficient genetic resource allocation algorithm for cloud data centers. ICUMT 2017: 244-249",cloud genetic,X,X,X
"Emna Hachicha, Karn Yongsiriwit, Mohamed Sellami, Walid Gaaloul: Genetic-Based Configurable Cloud Resource Allocation in QoS-Aware Business Process Development. ICWS 2017: 836-839",cloud genetic,X,X,X
"Bing Wang, Wei Song, Wenjing Lou, Y. Thomas Hou: Privacy-preserving pattern matching over encrypted genetic data in cloud computing. INFOCOM 2017: 1-9",cloud genetic,X,X,X
"Soha Rawas, Wassim Itani, Ahmed Zekri, Ali El Zaart: ENAGS: energy and network-aware genetic scheduling algorithm on cloud data centers. ICC 2017: 49:1-49:7",cloud genetic,X,X,X
"Liviu Oana, Marc Frîncu: Benchmarking the WRF Model on Bluegene/P, Cluster, and Cloud Platforms and Accelerating Model Setup Through Parallel Genetic Algorithms. ISPDC 2017: 78-84",cloud genetic,X,X,X
"Guobin Zhang, Huahu Xu, Honghao Gao, Ankang Liu: Applying Probability Model to The Genetic Algorithm Based Cloud Rendering Task Scheduling. SEKE 2017: 12-17",cloud genetic,X,X,X
"Janggwan Im, Sungpil Woo, Daeyoung Kim: A Hybrid Selective-Anyfit Genetic Algorithm for Variable-Sized Dynamic Bin Packing to Minimize Cloud Usage Cost. SOCA 2017: 223-229",cloud genetic,X,X,X
"Jasraj Meena, Malay Kumar, Manu Vardhan: Cost Effective Genetic Algorithm for Workflow Scheduling in Cloud Under Deadline Constraint. IEEE Access 4: 5065-5082 (2016)",cloud genetic,X,X,X
"Haifeng Hu, Junhui Zheng: Application of Teaching Quality Assessment Based on Parallel Genetic Support Vector Algorithm in the Cloud Computing Teaching System. iJET 11(8): 16-21 (2016)",cloud genetic,X,X,X
"Lovejit Singh, Sarbjeet Singh: Score-based genetic algorithm for scheduling workflow applications in clouds. IJGUC 7(4): 272-284 (2016)",cloud genetic,X,X,X
"Hai Zhu, Hongfeng Wang: New Deadline-Aware Energy-Consumption Optimization Model and Genetic Algorithm Under Cloud Computing. IJPRAI 30(3) (2016)",cloud genetic,X,X,X
"Ehsan Arianyan, Hassan Taheri, Saeed Sharifian: Multi Target Dynamic VM Consolidation in Cloud Data Centers Using Genetic Algorithm. J. Inf. Sci. Eng. 32(6): 1575-1593 (2016)",cloud genetic,X,X,X
"Li Deng, Yang Li, Li Yao, Yu Jin, Jinguang Gu: Power-Aware Resource Reconfiguration Using Genetic Algorithm in Cloud Computing. Mobile Information Systems 2016: 4859862:1-4859862:9 (2016)",cloud genetic,X,X,X
"Valter Rogério Messias, Júlio Cezar Estrella, Ricardo S. Ehlers, Marcos José Santana, Regina Helena Carlucci Santana, Stephan Reiff-Marganiec: Combining time series prediction models using genetic algorithm to autoscaling Web applications hosted in the cloud infrastructure. Neural Computing and Applications 27(8): 2383-2406 (2016)",cloud genetic,X,X,X
"Irene López Rodríguez, Blanca Tovar-Corona, Blanca Alicia Rico Jiménez, Laura Ivonne Garay Jiménez: A Hybrid Approach Based on Cores-Clouds, STAR Methodology and Genetic Algorithms for Rules Extraction. Research in Computing Science 127: 19-30 (2016)",cloud genetic,X,X,X
"S. Sajithabanu, S. R. Balasundaram: Cloud based Content Delivery Network using Genetic Optimization Algorithm for storage cost. ANTS 2016: 1-6",cloud genetic,X,X,X
"Weifeng Fan, Jun Peng, Xiaoyong Zhang, Zhiwu Huang: Genetic Based Data Placement for Geo-Distributed Data-Intensive Applications in Cloud Computing. APSCC 2016: 253-265",cloud genetic,X,X,X
"Xiaodong Sheng, Qiang Li: Template-Based Genetic Algorithm for QoS-Aware Task Scheduling in Cloud Computing. CBD 2016: 25-30",cloud genetic,X,X,X
"Ruben Mennes, Bart Spinnewyn, Steven Latré, Juan Felipe Botero: GRECO: A Distributed Genetic Algorithm for Reliable Application Placement in Hybrid Clouds. CloudNet 2016: 14-20",cloud genetic,X,X,X
Hong Chen: A Grouping Genetic Algorithm for Virtual Machine Placement in Cloud Computing. CollaborateCom 2016: 468-473,cloud genetic,X,X,X
"Jirui Li, Xiaoyong Li, Rui Zhang: Energy-and-Time-Saving Task Scheduling Based on Improved Genetic Algorithm in Mobile Cloud Computing. CollaborateCom 2016: 418-428",cloud genetic,X,X,X
"Sayantan Guha, Stephen S. Yau, Arun Balaji Buduru: Attack Detection in Cloud Infrastructures Using Artificial Neural Network with Genetic Feature Selection. DASC/PiCom/DataCom/CyberSciTech 2016: 414-419",cloud genetic,X,X,X
"Yidong Li, Xiangjun Meng, Hairong Dong: A Simulated Annealing Combined Genetic Algorithm for Virtual Machine Migration in Cloud Datacenters. DASC/PiCom/DataCom/CyberSciTech 2016: 572-577",cloud genetic,X,X,X
"Juan Du, Xu Zhou, Shu Tao, Qian Liu: Cloud Adaptive Parallel Simulated Annealing Genetic Algorithm in the Application of Personnel Scheduling in National Geographic Conditions Monitoring. FSDM 2016: 377-389",cloud genetic,X,X,X
"Pasquale Salza, Filomena Ferrucci, Federica Sarro: Develop, Deploy and Execute Parallel Genetic Algorithms in the Cloud. GECCO (Companion) 2016: 121-122",cloud genetic,X,X,X
"Lino Chamorro, Fabio Lopez Pires, Benjamín Barán: A Genetic Algorithm for Dynamic Cloud Application Brokerage. IC2E 2016: 131-134",cloud genetic,X,X,X
"Wissem Abbes, Zied Kechaou, Adel M. Alimi: A New Placement Optimization Approach in Hybrid Cloud Based on Genetic Algorithm. ICEBE 2016: 226-231",cloud genetic,X,X,X
"Dongping Fu, Yonghua Xiong, Chengda Lu, Min Wu, Keyuan Jiang: A Task Scheduling Method for Energy-Efficient Cloud Video Surveillance System Using a Time-Clustering-Based Genetic Algorithm. ICPADS 2016: 661-668",cloud genetic,X,X,X
"Jinliang Hou, Chunlin Huang: Cloud removal for MODIS Fractional Snow Cover products by similar pixel replacement guild with modified non-dominated sorting genetic algorithm. IGARSS 2016: 4913-4916",cloud genetic,X,X,X
"Safa Essassi, Ridha Hamila, Sofiane Cherif, Mohamed Siala, Mazen Omar Hasna: RB allocation based on genetic algorithm in cloud radio access networks. IWCMC 2016: 1002-1005",cloud genetic,X,X,X
"Mofijul Islam, Md. Abdur Razzaque, Jahidul Islam: A genetic algorithm for virtual machine migration in heterogeneous mobile cloud computing. NSysS 2016: 1-6",cloud genetic,X,X,X
"Bing Hu, Lin Yao, Yong Chen, Zinxin Sun: Cloud Resource Combinatorial Double Auction Algorithm Based on Genetic Algorithm and Simulated Annealing. QSHINE 2016: 435-445",cloud genetic,X,X,X
"Zhilong Wu, Sheng Xing, Shubin Cai, Zhijiao Xiao, Zhong Ming: A Genetic-Ant-Colony Hybrid Algorithm for Task Scheduling in Cloud System. SmartCom 2016: 183-193",cloud genetic,X,X,X
"Amjad Ullah, Jingpeng Li, Amir Hussain, Yindong Shen: Genetic optimization of fuzzy membership functions for cloud resource provisioning. SSCI 2016: 1-8",cloud genetic,X,X,X
"Vitoantonio Bevilacqua, Gianpaolo Francesco Trotta, Antonio Brunetti, Giuseppe Buonamassa, Martino Bruni, Giancarlo Delfine, Marco Riezzo, Michele Amodio, Giuseppe Bellantuono, Domenico Magaletti, Luca Verrino, Andrea Guerriero: Photogrammetric Meshes and 3D Points Cloud Reconstruction: A Genetic Algorithm Optimization Procedure. WIVACE 2016: 65-76",cloud genetic,X,X,X
"Pasquale Salza, Filomena Ferrucci: An Approach for Parallel Genetic Algorithms in the Cloud using Software Containers. CoRR abs/1606.06961 (2016)",cloud genetic,X,X,X
"Dandan Wang, Yang Yang, Zhenqiang Mi: A genetic-based approach to web service composition in geo-distributed cloud environment. Computers & Electrical Engineering 43: 129-141 (2015)",cloud genetic,X,X,X
"Fereydoun Farrahi Moghaddam, Reza Farrahi Moghaddam, Mohamed Cheriet: Carbon-aware distributed cloud: multi-level grouping genetic algorithm. Cluster Computing 18(1): 477-491 (2015)",cloud genetic,X,X,X
"Mohammad Shojafar, Saeed Javanmardi, Saeid Abolfazli, Nicola Cordeschi: FUGE: A joint meta-heuristic approach to cloud job scheduling algorithm using fuzzy theory and a genetic method. Cluster Computing 18(2): 829-844 (2015)",cloud genetic,X,X,X
"Mohammad Shojafar, Saeed Javanmardi, Saeid Abolfazli, Nicola Cordeschi: Erratum to: FUGE: A joint meta-heuristic approach to cloud job scheduling algorithm using fuzzy theory and a genetic method. Cluster Computing 18(2): 845 (2015)",cloud genetic,X,X,X
"Kalyan Veeramachaneni, Ignacio Arnaldo, Owen Derby, Una-May O'Reilly: FlexGP - Cloud-Based Ensemble Learning with Genetic Programming for Large Regression Problems. J. Grid Comput. 13(3): 391-407 (2015)",cloud genetic,X,X,X
"Weishan Zhang, Shouchao Tan, Qinghua Lu, Xin Liu, Wenjuan Gong: A Genetic-Algorithm-Based Approach for Task Migration in Pervasive Clouds. IJDSN 11: 463230:1-463230:9 (2015)",cloud genetic,X,X,X
"Ming-Wei Li, Duanfeng Han, Wenlong Wang: Vessel traffic flow forecasting by RSVR with chaotic cloud simulated annealing genetic algorithm and KPCA. Neurocomputing 157: 243-255 (2015)",cloud genetic,X,X,X
"Meikang Qiu, Zhong Ming, Jiayin Li, Keke Gai, Ziliang Zong: Phase-Change Memory Optimization for Green Cloud with Genetic Algorithm. IEEE Trans. Computers 64(12): 3528-3540 (2015)",cloud genetic,X,X,X
"Shih-Chia Huang, Ming-Kai Jiau, Chih-Hsiang Lin: A Genetic-Algorithm-Based Approach to Solve Carpool Service Problems in Cloud Computing. IEEE Trans. Intelligent Transportation Systems 16(1): 352-364 (2015)",cloud genetic,X,X,X
"Priya Krishnan Sundararajan, Eugen Feller, Julien Forgeat, Ole J. Mengshoel: A Constrained Genetic Algorithm for Rebalancing of Services in Cloud Data Centers. CLOUD 2015: 653-660",cloud genetic,X,X,X
"Li Deng, Li Yao: Dynamic Allocation of Virtual Resources Based on Genetic Algorithm in the Cloud. APSCC 2015: 153-164",cloud genetic,X,X,X
"Zong-Gan Chen, Ke-Jing Du, Zhi-Hui Zhan, Jun Zhang: Deadline constrained cloud computing resources scheduling for cost optimization based on dynamic objective genetic algorithm. CEC 2015: 708-714",cloud genetic,X,X,X
"K. Delhi Babu, D. Giridhar Kumar, Suresh Veluru: Optimal allocation of virtual resources using genetic algorithm in cloud environments. Conf. Computing Frontiers 2015: 55:1-55:6",cloud genetic,X,X,X
"Giuseppe Portaluri, Stefano Giordano: Power efficient resource allocation in cloud computing data centers using multi-objective genetic algorithms and simulated annealing. CLOUDNET 2015: 319-321",cloud genetic,X,X,X
"Miao Zhang, Li Liu, Songtao Liu: Genetic Algorithm Based QoS-aware Service Composition in Multi-cloud. CIC 2015: 113-118",cloud genetic,X,X,X
"Mosab Bazargani, Luís Mateus, Maria Amelia R. Loja: Planar Surfaces Recognition in 3D Point Cloud Using a Real-Coded Multistage Genetic Algorithm. EvoApplications 2015: 529-540",cloud genetic,X,X,X
"Leonard Heilig, Eduardo Lalla-Ruiz, Stefan Voß: A Biased Random-Key Genetic Algorithm for the Cloud Resource Management Problem. EvoCOP 2015: 1-12",cloud genetic,X,X,X
"Mohammad Shojafar, Maryam Kardgar, Ali Asghar Rahmani Hosseinabadi, Shahab Shamshirband, Ajith Abraham: TETS: A Genetic-Based Scheduler in Cloud Computing to Decrease Energy and Makespan. HIS 2015: 103-115",cloud genetic,X,X,X
"Congyang Chen, Jianxun Liu, Yiping Wen, Jinjun Chen, Dong Zhou: A Hybrid Genetic Algorithm for Privacy and Cost Aware Scheduling of Data Intensive Workflow in Cloud. ICA3PP (1) 2015: 578-591",cloud genetic,X,X,X
"Xiaosan Lei, Xiaoyan Zhu, Haotian Chi, Shunrong Jiang: Cloud-assisted privacy-preserving genetic paternity test. ICCC 2015: 1-6",cloud genetic,X,X,X
"A. S. Ajeena Beegom, M. S. Rajasree: Genetic Algorithm Framework for Bi-objective Task Scheduling in Cloud Computing Systems. ICDCIT 2015: 356-359",cloud genetic,X,X,X
"Tusher Kumer Sarker, Maolin Tang: A Penalty-Based Genetic Algorithm for the Migration Cost-Aware Virtual Machine Placement Problem in Cloud Data Centers. ICONIP (2) 2015: 161-169",cloud genetic,X,X,X
"Trilce Estrada, Michael R. Wyatt II, Michela Taufer: A Genetic Programming Approach to Design Resource Allocation Policies for Heterogeneous Workflows in the Cloud. ICPADS 2015: 372-379",cloud genetic,X,X,X
"Mohamed Amine Kaaouache, Sadok Bouamama: Solving bin Packing Problem with a Hybrid Genetic Algorithm for VM Placement in Cloud. KES 2015: 1061-1069",cloud genetic,X,X,X
"Mohammed Nisar Faruk, G. Lakshmi Vara Prasad, Govind Divya: A Genetic PSO Algorithm with QoS-Aware Cluster Cloud Service Composition. SIRS 2015: 395-405",cloud genetic,X,X,X
"Jianzhou Feng, Lingfu Kong: A Fuzzy Multi-objective Genetic Algorithm for QoS-based Cloud Service Composition. SKG 2015: 202-206",cloud genetic,X,X,X
"Mohan Muppidi, Paul Rad, Sos S. Agaian, Mo Jamshidi: Image segmentation by multi-level thresholding based on fuzzy entropy and genetic algorithm in cloud. SoSE 2015: 492-497",cloud genetic,X,X,X
"Liang Hong, Yufei Ge: GACA-VMP: Virtual Machine Placement Scheduling in Cloud Computing Based on Genetic Ant Colony Algorithm Approach. UIC/ATC/ScalCom 2015: 1008-1015",cloud genetic,X,X,X
"Miao Zhang, Yang Yang, Zhenqiang Mi, Zenggang Xiong: An Improved Genetic-Based Approach to Task Scheduling in Inter-cloud Environment. UIC/ATC/ScalCom 2015: 997-1003",cloud genetic,X,X,X
"Jeff Kinnison, Sekou L. Remy: Using Genetic Algorithms to Benchmark the Cloud. CoRR abs/1508.06705 (2015)",cloud genetic,X,X,X
"Gianluigi Folino, Francesco Sergio Pisani: Automatic offloading of mobile applications into the cloud by means of genetic programming. Appl. Soft Comput. 25: 253-265 (2014)",cloud genetic,X,X,X
"Fei Tao, Ying Feng, Lin Zhang, T. Warren Liao: CLPS-GA: A case library and Pareto solution-based hybrid genetic algorithm for energy-aware cloud service scheduling. Appl. Soft Comput. 19: 264-279 (2014)",cloud genetic,X,X,X
"Benoit Da Mota, Radu Tudoran, Alexandru Costan, Gaël Varoquaux, Goetz Brasche, Patricia J. Conrod, Hervé Lemaître, Tomás Paus, Marcella Rietschel, Vincent Frouin, Jean-Baptiste Poline, Gabriel Antoniu, Bertrand Thirion: Generic Machine Learning Pattern for Neuroimaging-Genetic Studies in the Cloud. Front. Neuroinform. 2014 (2014)",cloud genetic,X,X,X
"Amandeep Verma, Sakshi Kaushal: Deadline constraint heuristic-based genetic algorithm for workflow scheduling in cloud. IJGUC 5(2): 96-106 (2014)",cloud genetic,X,X,X
"Daeyong Jung, Taeweon Suh, Heon-Chang Yu, Joon-Min Gil: A Workflow Scheduling Technique Using Genetic Algorithm in Spot Instance-Based Cloud. TIIS 8(9): 3126-3145 (2014)",cloud genetic,X,X,X
"Nadjia Kara, Mbarka Soualhia, Fatna Belqasmi, Christian Azar, Roch H. Glitho: Genetic-based algorithms for resource management in virtualized IVR applications. J. Cloud Computing 3: 15 (2014)",cloud genetic,X,X,X
"R. Palson Kennedy, T. V. Gopalakrishnan: An Effective Optimized Genetic Algorithm for Scalable Information Retrieval from Cloud using Big Data. JCS 10(6): 1026-1035 (2014)",cloud genetic,X,X,X
"Nima Jafari Navimipour, Amir Masoud Rahmani, Ahmad Habibizad Navin, Mehdi Hosseinzadeh: Job scheduling in the Expert Cloud based on genetic algorithms. Kybernetes 43(8): 1262-1275 (2014)",cloud genetic,X,X,X
"Gaetano F. Anastasi, Emanuele Carlini, Massimo Coppola, Patrizio Dazzi: QBROKAGE: A Genetic Approach for QoS Cloud Brokering. IEEE CLOUD 2014: 304-311",cloud genetic,X,X,X
"Raghavendra Kune, Pramodkumar Konugurthi, Arun Agarwal, Chillarige Raghavendra Rao, Rajkumar Buyya: Genetic Algorithm Based Data-Aware Group Scheduling for Big Data Clouds. BDC 2014: 96-104",cloud genetic,X,X,X
"Xiaoyong Xu, Maolin Tang: A new grouping genetic algorithm for the MapReduce placement problem in cloud computing. IEEE Congress on Evolutionary Computation 2014: 1601-1608",cloud genetic,X,X,X
"Zeratul Izzah Mohd Yusoh, Maolin Tang: Composite SaaS scaling in Cloud computing using a hybrid genetic algorithm. IEEE Congress on Evolutionary Computation 2014: 1609-1616",cloud genetic,X,X,X
"Hai Zhu, Xiaoli Wang, Hongfeng Wang: A New Model for Energy Consumption Optimization under Cloud Computing and its Genetic Algorithm. CIS 2014: 7-11",cloud genetic,X,X,X
"Soumya Maity, Arindam Chaudhuri: Optimal negotiation of SLA in federated cloud using multiobjective genetic algorithms. CLOUDNET 2014: 269-271",cloud genetic,X,X,X
"Giuseppe Portaluri, Stefano Giordano, Dzmitry Kliazovich, Bernabé Dorronsoro: A power efficient genetic algorithm for resource allocation in cloud computing data centers. CLOUDNET 2014: 58-63",cloud genetic,X,X,X
"Tingting Wang, Zhaobin Liu, Yi Chen, Yujie Xu, Xiaoming Dai: Load Balancing Task Scheduling Based on Genetic Algorithm in Cloud Computing. DASC 2014: 146-152",cloud genetic,X,X,X
"Nguyen Quang-Hung, Le Thanh Tan, Chiem Thach Phat, Nam Thoai: A GPU-Based Enhanced Genetic Algorithm for Power-Aware Task Scheduling Problem in HPC Cloud. ICT-EurAsia 2014: 159-169",cloud genetic,X,X,X
"Tahereh Nodehi, Sudeep Ghimire, Ricardo Jardim-Gonçalves: A Computing Resource Selection Approach Based on Genetic Algorithm for Inter-Cloud Workload Migration. ISPE CE 2014: 271-277",cloud genetic,X,X,X
"Elena Apostol, Iulia Baluta, Alexandru Gorgoi, Valentin Cristea: A Parallel Genetic Algorithm Framework for Cloud Computing Applications. ARMS-CC@PODC 2014: 113-127",cloud genetic,X,X,X
"Zhi-Hui Zhan, Ge-Yi Zhang, Ying Lin, Yue-Jiao Gong, Jun Zhang: Load Balance Aware Genetic Algorithm for Task Scheduling in Cloud Computing. SEAL 2014: 644-655",cloud genetic,X,X,X
"Lovejit Singh, Sarbjeet Singh: A Genetic Algorithm for Scheduling Workflow Applications in Unreliable Cloud Environment. SNDS 2014: 139-150",cloud genetic,X,X,X
"Stanislaw Deniziak, Leszek Ciopinski, Grzegorz Pawinski, Karol Wieczorek, Slawomir Bak: Cost Optimization of Real-Time Cloud Applications Using Developmental Genetic Programming. UCC 2014: 774-779",cloud genetic,X,X,X
"Saeed Javanmardi, Mohammad Shojafar, Danilo Amendola, Nicola Cordeschi, Hongbo Liu, Ajith Abraham: Hybrid Genetic Algorithm for Cloud Computing Applications. CoRR abs/1404.5528 (2014)",cloud genetic,X,X,X
"Mona Mohammadi, Amir Masoud Rahmani: De-centralised dynamic task scheduling using hill climbing algorithm in cloud computing environments. IJCC 6(1): 79-94 (2017)",hill climbing cloud,X,X,X
